algorithm_id,station_label,recipe_label,family,n,mean_rmse,std_rmse,median_rmse,mean_mae,mean_runtime,rank,is_best,rank_allowed,comparison_status,claim_level
nearest_interpolation,full_grid,MCAR 30%,classical,5,8.894270031723917,0.024435321240829554,8.895147800215122,4.468954301873336,0.3000587599995924,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 50%,naive,5,7.69308459374916,0.020898134785616255,7.682217562530135,3.8068379198805102,0.30956500000029336,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 50%,classical,5,8.142520083150592,0.04502719287816916,8.144005359415257,4.007931038309171,12.604721019999852,2,False,True,compatible,bounded_comparison
galpi,full_grid,MCAR 50%,classical,5,9.904410253336856,0.03086006691512134,9.917664833457344,4.622795729602362,15.036355380000169,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MCAR 50%,classical,5,10.289881362889801,0.021456559619180235,10.289893442981445,5.047418837200334,0.4223435400002927,4,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MNAR 10%,classical,5,6.806547229766157,0.08238979766105645,6.776432902136117,3.69478745144317,1.086044899999979,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MNAR 10%,naive,5,7.071010168063836,0.10724626538469448,7.020329573608551,3.8746930366363754,0.08682597999977588,2,False,True,compatible,bounded_comparison
galpi,full_grid,MNAR 10%,classical,5,7.101703558874232,0.0940394628901647,7.0480098311469295,3.8810640641616834,1.595180600000458,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MNAR 10%,classical,5,12.118851502178932,0.12765215112003897,12.132134734102015,6.970709823878558,0.15357506000073046,4,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MNAR 30%,classical,5,7.680861753564372,0.05902805087542562,7.700502994611531,4.054529757506361,2.1639528199997584,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MNAR 30%,naive,5,8.123711299234067,0.11433493985134484,8.17457121287975,4.286289820163677,0.11868818000002648,2,False,True,compatible,bounded_comparison
galpi,full_grid,MNAR 30%,classical,5,8.898505190790596,0.18699431947686104,8.901035729019888,4.434416228752385,2.7809124399998835,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MNAR 30%,classical,5,12.726742772321494,0.10473032202768168,12.77498192004517,7.165876188758705,0.17017497999986517,4,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MNAR 50%,classical,5,9.16245474350929,0.08072043713157688,9.151352467031808,4.562690235287351,3.060462600000392,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MNAR 50%,naive,5,10.211371604335316,0.08847385024947381,10.225160372597708,4.944508574111365,0.13859347999969032,2,False,True,compatible,bounded_comparison
galpi,full_grid,MNAR 50%,classical,5,13.670298944575023,0.16020598481911044,13.638818032558587,5.657153972627453,3.6015342200000307,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MNAR 50%,classical,5,14.233508531384725,0.09183994018894868,14.23176141004713,7.600885104317749,0.20542676000004575,4,False,True,compatible,bounded_comparison
