series_index,column_label,n_observed,selected_p,selected_d,selected_q,ic_value,ic_criterion,selection_mode,stationary,converged,fallback_used,fallback_reason,warnings
78,column_78,600,0,1,5,2977.9022862461347,bic,ic_search,false,true,false,,
79,column_79,600,1,0,3,1306.3473144569311,bic,ic_search,true,true,false,,
80,column_80,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
81,column_81,600,3,0,5,3234.84244434761,bic,ic_search,true,true,false,,
82,column_82,600,0,1,4,3030.0157334605155,bic,ic_search,false,true,false,,
83,column_83,600,1,1,2,1816.8759702238517,bic,ic_search,false,true,false,,
84,column_84,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
85,column_85,600,0,1,1,2288.7092600348487,bic,ic_search,false,true,false,,
86,column_86,600,0,1,1,1965.4070539730997,bic,ic_search,false,true,false,,
87,column_87,600,1,1,2,2089.18137850166,bic,ic_search,false,true,false,,
88,column_88,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
89,column_89,600,0,1,1,2208.9684949176067,bic,ic_search,false,true,false,,
90,column_90,600,0,1,1,1981.8444996361452,bic,ic_search,false,true,false,,
91,column_91,600,1,1,3,1696.6525967226412,bic,ic_search,false,true,false,,
92,column_92,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
93,column_93,600,0,1,2,2238.860550079806,bic,ic_search,false,true,false,,
94,column_94,600,0,1,3,1986.4765290398004,bic,ic_search,false,true,false,,
95,column_95,600,1,1,2,1665.4035848149115,bic,ic_search,false,true,false,,
96,column_96,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
97,column_97,600,0,1,1,2250.92910704262,bic,ic_search,false,true,false,,
98,column_98,600,0,1,1,1999.3566665413941,bic,ic_search,false,true,false,,
99,column_99,600,1,1,2,1666.4792639315372,bic,ic_search,false,true,false,,
100,column_100,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
101,column_101,600,0,1,1,2278.049380622015,bic,ic_search,false,true,false,,
102,column_102,600,0,1,1,1948.3291071917138,bic,ic_search,false,true,false,,
103,column_103,600,1,1,2,2284.9475093229275,bic,ic_search,false,true,false,,
104,column_104,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
105,column_105,600,2,1,5,3046.1768879074816,bic,ic_search,false,true,false,,
106,column_106,600,0,1,5,2437.6610506827533,bic,ic_search,false,true,false,,
107,column_107,600,1,1,2,2282.499637649412,bic,ic_search,false,true,false,,
108,column_108,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
109,column_109,600,0,1,1,2263.25748385869,bic,ic_search,false,true,false,,
110,column_110,600,0,1,1,1972.540037534581,bic,ic_search,false,true,false,,
111,column_111,600,0,1,4,1738.7008904623815,bic,ic_search,false,true,false,,
112,column_112,600,0,1,1,1959.1694251397748,bic,ic_search,false,true,false,,
113,column_113,600,0,1,1,2230.7066025122926,bic,ic_search,false,true,false,,
114,column_114,600,0,1,2,1946.106738821651,bic,ic_search,false,true,false,,
115,column_115,600,1,1,2,1277.5999997050812,bic,ic_search,false,true,false,,
116,column_116,600,0,1,1,1959.1694251397748,bic,ic_search,false,true,false,,
117,column_117,600,0,1,1,2226.1009323600224,bic,ic_search,false,true,false,,
118,column_118,600,0,1,1,1961.786715197569,bic,ic_search,false,true,false,,
119,column_119,600,3,1,4,2639.519850293172,bic,ic_search,false,true,false,,
120,column_120,600,0,1,1,1949.1318639253489,bic,ic_search,false,true,false,,
121,column_121,600,4,1,1,2253.157623551043,bic,ic_search,false,true,false,,
122,column_122,600,0,1,1,1985.6780779051167,bic,ic_search,false,true,false,,
123,column_123,600,1,1,4,2682.7243495043613,bic,ic_search,false,true,false,,
124,column_124,600,0,1,1,1958.2743904400543,bic,ic_search,false,true,false,,
125,column_125,600,0,1,1,2266.3817606543566,bic,ic_search,false,true,false,,
126,column_126,600,0,1,1,1942.6806297622845,bic,ic_search,false,true,false,,
127,column_127,600,1,1,2,2650.7553613319815,bic,ic_search,false,true,false,,
128,column_128,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
129,column_129,600,0,1,2,2243.5847921436116,bic,ic_search,false,true,false,,
130,column_130,600,0,1,1,1932.2773382422993,bic,ic_search,false,true,false,,
131,column_131,600,2,1,4,2606.3517416399754,bic,ic_search,false,true,false,,
132,column_132,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
133,column_133,600,0,1,1,2236.611069299267,bic,ic_search,false,true,false,,
134,column_134,600,0,1,1,1980.814443048069,bic,ic_search,false,true,false,,
135,column_135,600,0,1,1,1318.9919262375017,bic,ic_search,false,true,false,,
136,column_136,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
137,column_137,600,0,1,1,2241.2422196704424,bic,ic_search,false,true,false,,
138,column_138,600,0,1,1,1945.268024947626,bic,ic_search,false,true,false,,
139,column_139,600,1,1,2,1259.8696353526861,bic,ic_search,false,true,false,,
140,column_140,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
141,column_141,600,0,1,1,2278.341890482064,bic,ic_search,false,true,false,,
142,column_142,600,0,1,1,2001.4233390608056,bic,ic_search,false,true,false,,
143,column_143,600,1,1,2,2059.61131970635,bic,ic_search,false,true,false,,
144,column_144,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
145,column_145,600,1,1,5,3083.2310290900937,bic,ic_search,false,true,false,,
146,column_146,600,0,1,4,2836.0278402833374,bic,ic_search,false,true,false,,
147,column_147,600,1,1,3,2059.9215465784896,bic,ic_search,false,true,false,,
148,column_148,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
149,column_149,600,1,1,5,3045.5223268170253,bic,ic_search,false,true,false,,
150,column_150,600,0,1,2,2858.2317290868696,bic,ic_search,false,true,false,,
151,column_151,600,1,1,3,2075.8007976925883,bic,ic_search,false,true,false,,
152,column_152,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
153,column_153,600,1,1,2,3046.337055427666,bic,ic_search,false,true,false,,
154,column_154,600,2,1,4,2497.356221648028,bic,ic_search,false,true,false,,
155,column_155,600,1,1,2,2036.385392176016,bic,ic_search,false,true,false,,
156,column_156,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
157,column_157,600,3,0,5,3262.718037128956,bic,ic_search,true,true,false,,
158,column_158,600,0,1,1,2967.9496318375827,bic,ic_search,false,true,false,,
159,column_159,600,1,1,2,2321.6541707889837,bic,ic_search,false,true,false,,
160,column_160,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
161,column_161,600,0,1,1,3058.016911587653,bic,ic_search,false,true,false,,
162,column_162,600,0,1,2,2504.2400591928103,bic,ic_search,false,true,false,,
163,column_163,600,1,1,2,2233.8524595950466,bic,ic_search,false,true,false,,
164,column_164,600,0,1,4,1891.8241239506758,bic,ic_search,false,true,false,,
165,column_165,600,0,1,1,2294.2698399650003,bic,ic_search,false,true,false,,
166,column_166,600,0,1,2,1990.9467958203456,bic,ic_search,false,true,false,,
167,column_167,600,0,1,2,1723.167363800355,bic,ic_search,false,true,false,,
168,column_168,600,0,1,1,1967.9469391298421,bic,ic_search,false,true,false,,
169,column_169,600,0,1,1,2243.786192734858,bic,ic_search,false,true,false,,
170,column_170,600,0,1,4,2011.9076610519608,bic,ic_search,false,true,false,,
171,column_171,600,1,1,2,2659.276351283861,bic,ic_search,false,true,false,,
172,column_172,600,0,1,1,1967.9469391298421,bic,ic_search,false,true,false,,
173,column_173,600,0,1,1,2246.3689340826795,bic,ic_search,false,true,false,,
174,column_174,600,0,1,1,1989.4307849611048,bic,ic_search,false,true,false,,
175,column_175,600,1,1,2,2694.448315292007,bic,ic_search,false,true,false,,
176,column_176,600,0,1,1,1947.3452930341598,bic,ic_search,false,true,false,,
177,column_177,600,0,1,1,2242.734556424349,bic,ic_search,false,true,false,,
178,column_178,600,0,1,1,1942.9650662312554,bic,ic_search,false,true,false,,
179,column_179,600,1,1,2,1290.5189185685854,bic,ic_search,false,true,false,,
180,column_180,600,0,1,2,1950.5004898466736,bic,ic_search,false,true,false,,
181,column_181,600,0,1,1,2246.6521397075276,bic,ic_search,false,true,false,,
182,column_182,600,0,1,2,1973.1504623096473,bic,ic_search,false,true,false,,
183,column_183,600,2,1,4,1276.3938243281757,bic,ic_search,false,true,false,,
184,column_184,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
185,column_185,600,0,1,1,2222.095699967293,bic,ic_search,false,true,false,,
186,column_186,600,0,1,4,1976.8245438411625,bic,ic_search,false,true,false,,
187,column_187,600,2,1,3,1688.488432710257,bic,ic_search,false,true,false,,
188,column_188,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
189,column_189,600,0,1,1,2292.416044162396,bic,ic_search,false,true,false,,
190,column_190,600,0,1,1,1988.9789501206865,bic,ic_search,false,true,false,,
191,column_191,600,1,1,4,1289.121331659313,bic,ic_search,false,true,false,,
192,column_192,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
193,column_193,600,0,1,1,2250.9672564958696,bic,ic_search,false,true,false,,
194,column_194,600,0,1,1,1993.4599470907988,bic,ic_search,false,true,false,,
195,column_195,600,1,1,3,1229.2844310159348,bic,ic_search,false,true,false,,
196,column_196,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
197,column_197,600,0,1,1,2247.0045965977642,bic,ic_search,false,true,false,,
198,column_198,600,0,1,3,1985.933605897133,bic,ic_search,false,true,false,,
199,column_199,600,1,1,2,1346.7289246282257,bic,ic_search,false,true,false,,
200,column_200,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
201,column_201,600,0,1,5,2250.5879604580527,bic,ic_search,false,true,false,,
202,column_202,600,0,1,1,1963.7705722191556,bic,ic_search,false,true,false,,
203,column_203,600,3,1,4,1674.670856537515,bic,ic_search,false,true,false,,
204,column_204,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
205,column_205,600,2,1,3,3072.2925709355122,bic,ic_search,false,true,false,,
206,column_206,600,0,1,2,2486.028742798214,bic,ic_search,false,true,false,,
207,column_207,600,3,1,4,1689.2166476898215,bic,ic_search,false,true,false,,
208,column_208,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
209,column_209,600,1,1,3,3039.995838017086,bic,ic_search,false,true,false,,
210,column_210,600,2,1,3,2462.553293881362,bic,ic_search,false,true,false,,
211,column_211,600,1,1,2,2080.498431060848,bic,ic_search,false,true,false,,
212,column_212,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
213,column_213,600,1,1,2,3081.9390907477436,bic,ic_search,false,true,false,,
214,column_214,600,0,1,1,2864.5918308175874,bic,ic_search,false,true,false,,
215,column_215,600,1,1,3,2379.631982406216,bic,ic_search,false,true,false,,
216,column_216,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
217,column_217,600,1,1,3,3065.37296598025,bic,ic_search,false,true,false,,
218,column_218,600,0,1,2,2520.9697448245984,bic,ic_search,false,true,false,,
219,column_219,600,1,1,2,2308.723626470204,bic,ic_search,false,true,false,,
220,column_220,600,0,1,1,2002.938999172592,bic,ic_search,false,true,false,,
221,column_221,600,0,1,4,3048.2896072472286,bic,ic_search,false,true,false,,
222,column_222,600,0,1,5,2462.602110020355,bic,ic_search,false,true,false,,
223,column_223,600,1,1,2,1667.2286891160097,bic,ic_search,false,true,false,,
224,column_224,600,3,1,5,2772.954233972466,bic,ic_search,false,true,false,,
225,column_225,600,1,1,5,3034.9440983162,bic,ic_search,false,true,false,,
226,column_226,600,0,1,2,2808.7960940066073,bic,ic_search,false,true,false,,
227,column_227,600,2,1,3,2683.458701668369,bic,ic_search,false,true,false,,
228,column_228,600,3,1,5,2772.954233972466,bic,ic_search,false,true,false,,
229,column_229,600,0,1,5,3043.6140242477773,bic,ic_search,false,true,false,,
230,column_230,600,0,1,1,2483.522675787228,bic,ic_search,false,true,false,,
231,column_231,600,1,1,2,2714.8727012883187,bic,ic_search,false,true,false,,
232,column_232,600,0,1,1,1918.6605977885804,bic,ic_search,false,true,false,,
233,column_233,600,0,1,1,2279.1845832680187,bic,ic_search,false,true,false,,
234,column_234,600,0,1,1,1939.0547501165504,bic,ic_search,false,true,false,,
235,column_235,600,3,1,4,1294.1768503863823,bic,ic_search,false,true,false,,
236,column_236,600,0,1,2,2781.4423774728534,bic,ic_search,false,true,false,,
237,column_237,600,1,1,3,3082.2095107705486,bic,ic_search,false,true,false,,
238,column_238,600,0,1,1,2480.0229536869297,bic,ic_search,false,true,false,,
239,column_239,600,1,1,4,1291.5981869260318,bic,ic_search,false,true,false,,
240,column_240,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
241,column_241,600,0,1,1,2286.9813007320386,bic,ic_search,false,true,false,,
242,column_242,600,0,1,1,1994.5508802746783,bic,ic_search,false,true,false,,
243,column_243,600,1,1,2,1771.91275019444,bic,ic_search,false,true,false,,
244,column_244,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
245,column_245,600,0,1,1,2230.7193672260123,bic,ic_search,false,true,false,,
246,column_246,600,0,1,1,1987.42738013436,bic,ic_search,false,true,false,,
247,column_247,600,1,0,1,1343.648086975625,bic,ic_search,true,true,false,,
248,column_248,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
249,column_249,600,0,1,1,2244.058734119899,bic,ic_search,false,true,false,,
250,column_250,600,0,1,1,2003.028153530431,bic,ic_search,false,true,false,,
251,column_251,600,3,0,4,1272.8800832415752,bic,ic_search,true,true,false,,
252,column_252,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
253,column_253,600,0,1,1,2259.7172614080637,bic,ic_search,false,true,false,,
254,column_254,600,0,1,1,1993.5913718336817,bic,ic_search,false,true,false,,
255,column_255,600,1,1,2,1286.123296119385,bic,ic_search,false,true,false,,
256,column_256,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
257,column_257,600,1,1,3,3088.9443838537886,bic,ic_search,false,true,false,,
258,column_258,600,0,1,2,2476.209598731503,bic,ic_search,false,true,false,,
259,column_259,600,0,1,1,1714.7746851630425,bic,ic_search,false,true,false,,
260,column_260,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
261,column_261,600,2,1,4,3063.3665307256465,bic,ic_search,false,true,false,,
262,column_262,600,0,1,2,2519.7189604728073,bic,ic_search,false,true,false,,
263,column_263,600,4,1,5,1669.1155547557678,bic,ic_search,false,true,false,,
264,column_264,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
265,column_265,600,1,1,3,3078.2212722792938,bic,ic_search,false,true,false,,
266,column_266,600,0,1,1,2479.382538925359,bic,ic_search,false,true,false,,
267,column_267,600,1,1,2,1342.2650597525264,bic,ic_search,false,true,false,,
268,column_268,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
269,column_269,600,0,1,2,3031.6048922991104,bic,ic_search,false,true,false,,
270,column_270,600,0,1,1,2498.1527207374925,bic,ic_search,false,true,false,,
271,column_271,600,1,1,2,2368.4844104640383,bic,ic_search,false,true,false,,
272,column_272,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
273,column_273,600,0,1,1,2272.5838977349713,bic,ic_search,false,true,false,,
274,column_274,600,0,1,1,1980.553610050643,bic,ic_search,false,true,false,,
275,column_275,600,1,1,4,2292.522829563939,bic,ic_search,false,true,false,,
276,column_276,600,0,1,1,1942.4006858351042,bic,ic_search,false,true,false,,
277,column_277,600,0,1,1,2249.7311863192635,bic,ic_search,false,true,false,,
278,column_278,600,0,1,1,1980.3617338494457,bic,ic_search,false,true,false,,
279,column_279,600,2,1,3,1714.0011378747042,bic,ic_search,false,true,false,,
280,column_280,600,1,1,5,3510.19748561615,bic,ic_search,false,true,false,,
281,column_281,600,1,1,2,3041.2973833848237,bic,ic_search,false,true,false,,
282,column_282,600,0,1,4,2786.778937175318,bic,ic_search,false,true,false,,
283,column_283,600,1,1,2,2760.364075917206,bic,ic_search,false,true,false,,
284,column_284,600,1,1,5,3510.19748561615,bic,ic_search,false,true,false,,
285,column_285,600,1,1,2,3051.8626772715056,bic,ic_search,false,true,false,,
286,column_286,600,0,1,1,2878.6912478587683,bic,ic_search,false,true,false,,
287,column_287,600,1,1,3,2778.6904835301943,bic,ic_search,false,true,false,,
288,column_288,600,1,1,2,2713.7741383223383,bic,ic_search,false,true,false,,
289,column_289,600,1,1,2,3054.6000736884002,bic,ic_search,false,true,false,,
290,column_290,600,0,1,5,2469.671887494294,bic,ic_search,false,true,false,,
291,column_291,600,1,1,2,1724.0728844826713,bic,ic_search,false,true,false,,
292,column_292,600,1,1,4,3329.860468528549,bic,ic_search,false,true,false,,
293,column_293,600,3,0,5,3323.336145607505,bic,ic_search,true,true,false,,
294,column_294,600,0,1,5,3008.6084111707255,bic,ic_search,false,true,false,,
295,column_295,600,1,1,2,1690.1367108107104,bic,ic_search,false,true,false,,
296,column_296,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
297,column_297,600,3,0,5,3235.854764250023,bic,ic_search,true,true,false,,
298,column_298,600,0,1,4,2965.6875805581685,bic,ic_search,false,true,false,,
299,column_299,600,1,1,2,1744.4773846663745,bic,ic_search,false,true,false,,
300,column_300,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
301,column_301,600,0,1,1,2236.1530719276675,bic,ic_search,false,true,false,,
302,column_302,600,0,1,1,2020.9399654899685,bic,ic_search,false,true,false,,
303,column_303,600,2,0,3,1281.9184099591605,bic,ic_search,true,true,false,,
304,column_304,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
305,column_305,600,0,1,1,2224.8791425458044,bic,ic_search,false,true,false,,
306,column_306,600,0,1,5,1967.6158800242758,bic,ic_search,false,true,false,,
307,column_307,600,1,1,3,1245.718224024315,bic,ic_search,false,true,false,,
308,column_308,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
309,column_309,600,0,1,1,2246.7705811436163,bic,ic_search,false,true,false,,
310,column_310,600,0,1,2,1992.135799971681,bic,ic_search,false,true,false,,
311,column_311,600,1,1,4,1306.784678306607,bic,ic_search,false,true,false,,
312,column_312,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
313,column_313,600,0,1,2,2249.924027268136,bic,ic_search,false,true,false,,
314,column_314,600,0,1,1,2003.4150524851768,bic,ic_search,false,true,false,,
315,column_315,600,1,1,4,1691.922548015159,bic,ic_search,false,true,false,,
316,column_316,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
317,column_317,600,0,1,4,2255.6090755112446,bic,ic_search,false,true,false,,
318,column_318,600,0,1,1,1965.3884460341328,bic,ic_search,false,true,false,,
319,column_319,600,0,1,1,1746.5293155721076,bic,ic_search,false,true,false,,
320,column_320,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
321,column_321,600,0,1,1,2228.286443093125,bic,ic_search,false,true,false,,
322,column_322,600,0,1,1,1944.177333600436,bic,ic_search,false,true,false,,
323,column_323,600,1,1,2,1306.1776166888258,bic,ic_search,false,true,false,,
324,column_324,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
325,column_325,600,1,1,5,3082.4457646920946,bic,ic_search,false,true,false,,
326,column_326,600,0,1,1,2470.5910820401264,bic,ic_search,false,true,false,,
327,column_327,600,1,1,2,2295.3503444346616,bic,ic_search,false,true,false,,
328,column_328,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
329,column_329,600,0,1,1,2252.707994398554,bic,ic_search,false,true,false,,
330,column_330,600,0,1,1,1972.8040221048834,bic,ic_search,false,true,false,,
331,column_331,600,1,1,2,1688.9809248423683,bic,ic_search,false,true,false,,
332,column_332,600,1,1,4,3354.8646824987272,bic,ic_search,false,true,false,,
333,column_333,600,0,1,1,2232.031513102955,bic,ic_search,false,true,false,,
334,column_334,600,0,1,1,1969.0728058429384,bic,ic_search,false,true,false,,
335,column_335,600,2,1,4,1714.7734431069173,bic,ic_search,false,true,false,,
336,column_336,600,1,1,5,3494.7958622062574,bic,ic_search,false,true,false,,
337,column_337,600,1,1,3,3039.5690485374475,bic,ic_search,false,true,false,,
338,column_338,600,0,1,5,2842.716929958823,bic,ic_search,false,true,false,,
339,column_339,600,1,1,2,3035.6532038511823,bic,ic_search,false,true,false,,
340,column_340,600,1,1,5,3494.7958622062574,bic,ic_search,false,true,false,,
341,column_341,600,1,1,2,3040.225040919756,bic,ic_search,false,true,false,,
342,column_342,600,0,1,3,2827.696969905494,bic,ic_search,false,true,false,,
343,column_343,600,1,1,2,3083.732129342892,bic,ic_search,false,true,false,,
344,column_344,600,2,1,5,3471.362809824282,bic,ic_search,false,true,false,,
345,column_345,600,1,1,2,3043.60718245821,bic,ic_search,false,true,false,,
346,column_346,600,1,1,2,2808.888122204562,bic,ic_search,false,true,false,,
347,column_347,600,2,1,2,2763.1873458741584,bic,ic_search,false,true,false,,
348,column_348,600,1,1,5,3516.401861425131,bic,ic_search,false,true,false,,
349,column_349,600,1,1,2,3080.5111238250774,bic,ic_search,false,true,false,,
350,column_350,600,0,1,1,2887.329952018735,bic,ic_search,false,true,false,,
351,column_351,600,1,1,2,2726.410657058437,bic,ic_search,false,true,false,,
352,column_352,600,1,1,4,3483.473869845608,bic,ic_search,false,true,false,,
353,column_353,600,1,1,4,3058.122377703963,bic,ic_search,false,true,false,,
354,column_354,600,1,1,5,2872.294741317145,bic,ic_search,false,true,false,,
355,column_355,600,1,1,3,2729.074317333071,bic,ic_search,false,true,false,,
356,column_356,600,1,1,4,3483.473869845608,bic,ic_search,false,true,false,,
357,column_357,600,0,1,1,3078.9029886923267,bic,ic_search,false,true,false,,
