algorithm_id,mask_family,db_masking_id,db_run_count,completed,not_completed,wrong_graph_policy,wrong_epochs,is_complete,blockers,db_run_ids
grin,spatial_block,st:spatial_block:0.3,3,3,0,0,0,True,,01bed20e-eb8b-45f3-a32b-09076c07d86b|5074d2e4-90b5-42bc-abe4-221ede827733|86c534b8-c20a-41fb-80ff-48727b7ee048
ignnk,mar,st:mar:0.3,3,3,0,0,0,True,,123a3681-7ec2-4d61-b4d3-061615c6d02f|922e878b-c1f3-45c9-8789-c1912a47d8bb|ec287e1c-8389-4c7c-a281-c2f1cbaedff5
ignnk,mcar,st:mcar:0.3,3,3,0,0,0,True,,1bbeb965-db9c-497f-a33d-19b5dd04e086|32e97060-ee1f-47b5-9653-8a54782d62df|c932b6bc-7bf4-45ae-8760-3e132e99b544
ignnk,mnar,st:mnar:0.3,3,3,0,0,0,True,,95c9c393-ad77-43d8-b154-07e44738a679|bfe146c8-400f-4aa2-9ea9-5345d26d7ee7|d460f33c-6b10-46f5-b599-dfd2b879d892
ignnk,node_holdout,st:node_holdout:0.3,3,3,0,0,0,True,,205e515d-2e03-4bc9-bb4a-473799cb5e29|7b896e1d-db47-4582-af66-3c44dfd43e21|a5434f59-7566-47da-96d7-22f5122451fb
ignnk,sensor_dropout,st:sensor_dropout:0.3,3,3,0,0,0,True,,804870e3-e219-4afd-8e20-a5861b1a6861|a8804ecd-b512-4b47-90cc-eaa04f2a774c|ef2c67df-fe39-4acc-b14f-cf8dbc747eb2
ignnk,spatial_block,st:spatial_block:0.3,3,3,0,0,0,True,,0fc40a54-6a92-450a-b388-83fe41e69872|4e2cdf00-4bc2-4d8d-a42a-bf615bf8dcf8|f809bd08-f77d-4e03-a3cc-b6b0992c4da4
stgcn,mar,st:mar:0.3,3,3,0,0,0,True,,2076c8ce-29c6-48d8-8335-e20d5bccb10d|57e801ba-a878-4c04-aa5f-3f732e1e6988|b1abac0c-fadb-40bc-a5e9-6d2533f5e501
stgcn,mcar,st:mcar:0.3,3,3,0,0,0,True,,099f9978-5acb-49f4-bd39-1f54f8c9f174|a2fba592-e758-4c09-937e-81cfa2c0ea7d|d8cfebef-6571-4c94-97c7-6cc8bdfea127
stgcn,mnar,st:mnar:0.3,3,3,0,0,0,True,,2386b8dd-ea8a-4928-a14b-21fbdb19cafa|8be70a33-2afa-4d51-82b6-2ddef70c7336|e72fea51-02d1-489d-becc-76ce0614ca5f
stgcn,node_holdout,st:node_holdout:0.3,3,3,0,0,0,True,,78f5aaea-e980-444f-83e3-52f8c356eb68|af8c5fd9-3c98-4d50-a1f4-a46487dbad3a|e373527c-38ce-48a6-915c-98b74dc5d9f5
stgcn,sensor_dropout,st:sensor_dropout:0.3,3,3,0,0,0,True,,0222409a-48b2-44f1-87d0-1c5bdf3082a6|46c046fc-de27-4072-9b2f-0a5b564c3cbc|9278774f-f040-4f1c-8b04-9668cb805b5f
stgcn,spatial_block,st:spatial_block:0.3,3,3,0,0,0,True,,0ea58da5-0939-4e1f-8997-fe8e6e69eb52|30f01156-f4c8-4848-aff3-8b39df673172|599b6125-b4e5-482d-b6aa-16747a230c1e
