| ID                                   | Run                                  | Algorithm           | Masking            |     MAE |    RMSE | Runtime   |
| b60de87c-8188-4d14-9c4e-b5cbca3bb03a | b4b969cb-f72a-4c56-8855-83e33454ca3c | DCRNN               | protocol:test_r001 | 36.9141 | 47.2892 | nans      |
| 170d4847-6448-4ac8-b2a0-e4e37c53aba0 | b4b969cb-f72a-4c56-8855-83e33454ca3c | DCRNN               | protocol:test_r000 | 33.5357 | 44.8801 | nans      |
| aa3b72cf-5c27-4d71-a3ce-a90e2bea60a0 | 2f9573a7-718b-4561-9923-6fbf0e260922 | DCRNN               | protocol:test_r004 | 29.9315 | 39.4045 | nans      |
| 19d5ae59-200a-4949-ab54-829ecbe585bd | 2f9573a7-718b-4561-9923-6fbf0e260922 | DCRNN               | protocol:test_r003 | 29.9213 | 39.5259 | nans      |
| 29b4d388-545c-47b4-9c5d-6a0aaa5abee2 | 2f9573a7-718b-4561-9923-6fbf0e260922 | DCRNN               | protocol:test_r002 | 29.6583 | 39.0986 | nans      |
| 93a2dd1a-7159-42cb-b8b4-e0137647a32e | 2f9573a7-718b-4561-9923-6fbf0e260922 | DCRNN               | protocol:test_r001 | 29.498  | 39.1049 | nans      |
| 06ea0718-d642-4484-badf-93194638c67b | 2f9573a7-718b-4561-9923-6fbf0e260922 | DCRNN               | protocol:test_r000 | 29.4571 | 39.0266 | nans      |
| 84cd86a0-56ad-411e-adb0-5881646c964e | 205e515d-2e03-4bc9-bb4a-473799cb5e29 | IGNNK               | protocol:test_r004 | 23.2556 | 31.0494 | nans      |
| 2ae37b33-1dc1-453e-8b6b-aee569645a86 | 205e515d-2e03-4bc9-bb4a-473799cb5e29 | IGNNK               | protocol:test_r003 | 24.5577 | 32.6558 | nans      |
| a611f485-1fe6-410d-8d83-e8ce976983eb | 205e515d-2e03-4bc9-bb4a-473799cb5e29 | IGNNK               | protocol:test_r002 | 25.6051 | 33.1061 | nans      |
| c28427d6-31a7-41d2-a08c-eda2316692cf | 205e515d-2e03-4bc9-bb4a-473799cb5e29 | IGNNK               | protocol:test_r001 | 22.4013 | 30.2523 | nans      |
| dce383cd-aa2a-4eeb-8073-5aa198459392 | 205e515d-2e03-4bc9-bb4a-473799cb5e29 | IGNNK               | protocol:test_r000 | 24.0587 | 32.7483 | nans      |
| 14bf64a4-209a-4320-96d8-673dd3e17108 | 804870e3-e219-4afd-8e20-a5861b1a6861 | IGNNK               | protocol:test_r004 | 29.2033 | 36.6745 | nans      |
| bb5199a5-1054-4f7f-9ca3-8737f9580b78 | 804870e3-e219-4afd-8e20-a5861b1a6861 | IGNNK               | protocol:test_r003 | 27.2816 | 35.3976 | nans      |
| 122ccee7-f3ba-496c-956e-f834079d5c8d | 804870e3-e219-4afd-8e20-a5861b1a6861 | IGNNK               | protocol:test_r002 | 23.8864 | 32.3276 | nans      |
| 26bc8291-19b9-4b6a-80b7-e0eea388da7d | 804870e3-e219-4afd-8e20-a5861b1a6861 | IGNNK               | protocol:test_r001 | 27.1402 | 36.1937 | nans      |
| 3f0a68e8-93d9-4be5-a090-b2cc8766aea8 | 804870e3-e219-4afd-8e20-a5861b1a6861 | IGNNK               | protocol:test_r000 | 24.7626 | 33.5546 | nans      |
| 05dfc3fd-4706-4852-94e1-69b657cbb4a2 | 0fc40a54-6a92-450a-b388-83fe41e69872 | IGNNK               | protocol:test_r004 | 24.3662 | 32.5722 | nans      |
| 4548121d-b4ab-4bc6-8eca-c9d0bfa4faac | 0fc40a54-6a92-450a-b388-83fe41e69872 | IGNNK               | protocol:test_r003 | 30.0682 | 37.7183 | nans      |
| f4d352c8-40d7-46a8-a013-7e59f8485786 | 0fc40a54-6a92-450a-b388-83fe41e69872 | IGNNK               | protocol:test_r002 | 22.7925 | 30.3978 | nans      |
| dec474a6-87dd-4f4f-9c38-d28430f0850f | 0fc40a54-6a92-450a-b388-83fe41e69872 | IGNNK               | protocol:test_r001 | 31.5395 | 40.0389 | nans      |
| 33e41cf6-8535-4299-a343-de0bd3196269 | 0fc40a54-6a92-450a-b388-83fe41e69872 | IGNNK               | protocol:test_r000 | 32.9682 | 40.4223 | nans      |
| e71cba26-b367-473d-a1cb-e1bbce366b90 | 95c9c393-ad77-43d8-b154-07e44738a679 | IGNNK               | protocol:test_r004 | 32.3656 | 42.1196 | nans      |
| 40b40078-e3ef-4a35-b59b-f36680c0c720 | 95c9c393-ad77-43d8-b154-07e44738a679 | IGNNK               | protocol:test_r003 | 32.4354 | 42.1345 | nans      |
| b30bdac1-7c71-4873-b9d7-c6d136fefce9 | 95c9c393-ad77-43d8-b154-07e44738a679 | IGNNK               | protocol:test_r002 | 32.9824 | 42.4888 | nans      |
| fadf30e5-ae00-4387-95be-2b0b8b85ddc1 | 95c9c393-ad77-43d8-b154-07e44738a679 | IGNNK               | protocol:test_r001 | 29.6303 | 39.6876 | nans      |
| b358b0c6-103a-4db2-8bf5-5a917efa5d79 | 95c9c393-ad77-43d8-b154-07e44738a679 | IGNNK               | protocol:test_r000 | 31.6822 | 41.2345 | nans      |
| ae1c4027-1bb2-414f-b6b6-7f0478355aab | 922e878b-c1f3-45c9-8789-c1912a47d8bb | IGNNK               | protocol:test_r004 | 31.3327 | 39.6873 | nans      |
| fc9d7f80-df1f-4a31-a3f6-2d4ee8107759 | 922e878b-c1f3-45c9-8789-c1912a47d8bb | IGNNK               | protocol:test_r003 | 29.3478 | 39.1855 | nans      |
| d87648eb-9823-4eca-9eda-a652dc01e959 | 922e878b-c1f3-45c9-8789-c1912a47d8bb | IGNNK               | protocol:test_r002 | 26.4239 | 35.3788 | nans      |
| b06ef579-e65b-481b-9082-157292394a25 | 922e878b-c1f3-45c9-8789-c1912a47d8bb | IGNNK               | protocol:test_r001 | 28.8524 | 37.8779 | nans      |
| 7f4bdb44-b04d-4ea1-a165-40a0ee0db8ad | 922e878b-c1f3-45c9-8789-c1912a47d8bb | IGNNK               | protocol:test_r000 | 28.1623 | 37.7157 | nans      |
| 0a97d805-b87e-4171-8682-dc6bf855f601 | 32e97060-ee1f-47b5-9653-8a54782d62df | IGNNK               | protocol:test_r004 | 19.7242 | 28.0947 | nans      |
| e806b59a-d88a-4093-a33f-a0a1becd4dcd | 32e97060-ee1f-47b5-9653-8a54782d62df | IGNNK               | protocol:test_r003 | 21.7314 | 30.3431 | nans      |
| 9a0260ed-97d4-4d7d-bddd-30cc2e4cfef0 | 32e97060-ee1f-47b5-9653-8a54782d62df | IGNNK               | protocol:test_r002 | 21.3806 | 29.652  | nans      |
| 876529ca-8ee9-404e-8f5a-9e36e37f1d1e | 32e97060-ee1f-47b5-9653-8a54782d62df | IGNNK               | protocol:test_r001 | 20.0988 | 27.9359 | nans      |
| bd563403-dde6-44b5-9863-b7e37b5e1d09 | 32e97060-ee1f-47b5-9653-8a54782d62df | IGNNK               | protocol:test_r000 | 19.1502 | 27.1962 | nans      |
| a60617de-887f-4cc8-b074-78108f8c9e18 | e18f9b85-b54a-4c61-bc75-53d6c78328ed | GRIN                | protocol:test_r004 | 22.791  | 32.806  | nans      |
| c6019090-b1e8-4a34-bc02-0460c875d853 | e18f9b85-b54a-4c61-bc75-53d6c78328ed | GRIN                | protocol:test_r003 | 22.8052 | 32.7929 | nans      |
| 57ab211a-7538-45f9-a6b1-3ebab711dab3 | e18f9b85-b54a-4c61-bc75-53d6c78328ed | GRIN                | protocol:test_r002 | 24.1883 | 34.3702 | nans      |
| 855bbc6e-db45-43f1-8175-26077db2879b | e18f9b85-b54a-4c61-bc75-53d6c78328ed | GRIN                | protocol:test_r001 | 25.0794 | 35.1551 | nans      |
| 048554bc-928f-4f60-bd73-ae13d397b4c5 | e18f9b85-b54a-4c61-bc75-53d6c78328ed | GRIN                | protocol:test_r000 | 24.0397 | 34.7054 | nans      |
| 9e2e29f0-d4cc-4b5b-9213-e2b0d4cd62d4 | 139d4f68-bbe7-4aa5-b8cd-afb73da413e6 | GRIN                | protocol:test_r004 | 23.0634 | 33.1482 | nans      |
| 14133b7c-4d56-4925-8168-1997ed53c4a5 | 139d4f68-bbe7-4aa5-b8cd-afb73da413e6 | GRIN                | protocol:test_r003 | 23.0747 | 33.0858 | nans      |
| 4faf27ce-a12a-4775-81f6-f633eff6ecbd | 139d4f68-bbe7-4aa5-b8cd-afb73da413e6 | GRIN                | protocol:test_r002 | 24.1826 | 34.4353 | nans      |
| 8cbee49e-8fde-429e-97d9-f57f0e084c9d | 139d4f68-bbe7-4aa5-b8cd-afb73da413e6 | GRIN                | protocol:test_r001 | 24.8633 | 35.018  | nans      |
| 82979009-678d-4483-b064-025945a0d59f | 139d4f68-bbe7-4aa5-b8cd-afb73da413e6 | GRIN                | protocol:test_r000 | 23.71   | 34.3713 | nans      |
| 25feff67-41d3-4f1d-9433-88c2c48095a9 | 01bed20e-eb8b-45f3-a32b-09076c07d86b | GRIN                | protocol:test_r004 | 25.5051 | 35.9171 | nans      |
| 93fee944-9a3c-42da-b763-b8a9aabf43c5 | 01bed20e-eb8b-45f3-a32b-09076c07d86b | GRIN                | protocol:test_r003 | 25.2201 | 34.7663 | nans      |
| 91557203-76ac-4626-a83d-3563401a8a2f | 01bed20e-eb8b-45f3-a32b-09076c07d86b | GRIN                | protocol:test_r002 | 22.0187 | 31.3678 | nans      |
| a2d95b9d-8be5-4dc0-b11e-400a90f6134b | 01bed20e-eb8b-45f3-a32b-09076c07d86b | GRIN                | protocol:test_r001 | 25.7189 | 36.3575 | nans      |
| f4f06263-d454-49bb-b58e-2e7356b23854 | 01bed20e-eb8b-45f3-a32b-09076c07d86b | GRIN                | protocol:test_r000 | 26.9994 | 37.0061 | nans      |
| 43f6e1d3-e330-4849-94f5-3b7c75d1defd | 751eae6b-3559-4bdb-9978-d2f504fe661e | GRIN                | protocol:test_r004 | 41.4207 | 52.0106 | nans      |
| 9650abe6-b1ec-4165-ae2a-93d45d09be18 | 751eae6b-3559-4bdb-9978-d2f504fe661e | GRIN                | protocol:test_r003 | 41.4735 | 52.0447 | nans      |
| 2252bea3-f9b9-4d66-a8c8-985fe2531b2a | 751eae6b-3559-4bdb-9978-d2f504fe661e | GRIN                | protocol:test_r002 | 41.1929 | 51.7632 | nans      |
| 8e776984-aa62-4741-96ff-54908d107ca9 | 751eae6b-3559-4bdb-9978-d2f504fe661e | GRIN                | protocol:test_r001 | 41.8043 | 52.2871 | nans      |
| 35dfc264-2917-4392-aeb6-c9ff9766febd | 751eae6b-3559-4bdb-9978-d2f504fe661e | GRIN                | protocol:test_r000 | 41.8123 | 52.3404 | nans      |
| e48eadf1-3136-4ed0-9ea3-463e2c3d30b1 | 63909921-cc8d-418e-983d-18b6a51c8ba1 | GRIN                | protocol:test_r004 | 30.2443 | 40.424  | nans      |
| 42fdb2ef-a2fc-4645-904f-cfa2e2de14fe | 63909921-cc8d-418e-983d-18b6a51c8ba1 | GRIN                | protocol:test_r003 | 27.9605 | 39.8429 | nans      |
| 72c21f1d-95e3-4fc3-8bed-9df952519b8f | 63909921-cc8d-418e-983d-18b6a51c8ba1 | GRIN                | protocol:test_r002 | 24.6179 | 35.7742 | nans      |
| 4916001e-d267-4401-9058-07a2d1d87b89 | 63909921-cc8d-418e-983d-18b6a51c8ba1 | GRIN                | protocol:test_r001 | 31.8317 | 42.7298 | nans      |
| 1e79ce87-20d2-459b-b48b-04e4dcac05d6 | 63909921-cc8d-418e-983d-18b6a51c8ba1 | GRIN                | protocol:test_r000 | 28.1533 | 40.1888 | nans      |
| ba60b74e-b812-44ef-8bb4-6a63f468d21d | 388d993a-7afe-40df-b86c-b10eccd265b4 | GRIN                | protocol:test_r004 | 24.8266 | 35.187  | nans      |
| d1e89792-cf36-42ef-86b2-6627c002f5d8 | 388d993a-7afe-40df-b86c-b10eccd265b4 | GRIN                | protocol:test_r003 | 24.7017 | 35.1642 | nans      |
| 983850cb-978f-437a-89cd-0f73d0cd5afe | 388d993a-7afe-40df-b86c-b10eccd265b4 | GRIN                | protocol:test_r002 | 23.9393 | 34.2317 | nans      |
| 99f799b5-60d2-45e5-b7de-d81f326df361 | 388d993a-7afe-40df-b86c-b10eccd265b4 | GRIN                | protocol:test_r001 | 24.1911 | 34.4767 | nans      |
| 383125e1-afa7-4b14-802b-fc34376fc612 | 388d993a-7afe-40df-b86c-b10eccd265b4 | GRIN                | protocol:test_r000 | 24.2604 | 34.5349 | nans      |
| 626da706-32de-493f-aced-3cbe9357cdaf | 78f5aaea-e980-444f-83e3-52f8c356eb68 | STGCN               | protocol:test_r004 | 12.1049 | 17.5758 | nans      |
| ef48aaea-f0a8-43a8-988d-5dd6f7255775 | 78f5aaea-e980-444f-83e3-52f8c356eb68 | STGCN               | protocol:test_r003 | 12.7203 | 18.5443 | nans      |
| 97e6a053-a89e-46ca-b2d1-2edebfc0a31f | 78f5aaea-e980-444f-83e3-52f8c356eb68 | STGCN               | protocol:test_r002 | 12.8931 | 18.5033 | nans      |
| da9814ea-6403-42fd-be9f-41f1272c7c8c | 78f5aaea-e980-444f-83e3-52f8c356eb68 | STGCN               | protocol:test_r001 | 12.993  | 19.3323 | nans      |
| 69236446-aa42-43af-8e32-5705001767e4 | 78f5aaea-e980-444f-83e3-52f8c356eb68 | STGCN               | protocol:test_r000 | 13.332  | 20.448  | nans      |
| 04413adb-e3ab-4478-ade7-0e904e008e45 | 9278774f-f040-4f1c-8b04-9668cb805b5f | STGCN               | protocol:test_r004 | 11.6787 | 17.3191 | nans      |
| 18c9ad84-0fab-4020-aee3-bb3af0b69870 | 9278774f-f040-4f1c-8b04-9668cb805b5f | STGCN               | protocol:test_r003 | 12.3216 | 18.0062 | nans      |
| dce3c73e-78b0-4f4c-a7b7-af1300864a61 | 9278774f-f040-4f1c-8b04-9668cb805b5f | STGCN               | protocol:test_r002 | 12.9026 | 18.703  | nans      |
| 529d2978-2060-42d3-b98e-447ba7adc903 | 9278774f-f040-4f1c-8b04-9668cb805b5f | STGCN               | protocol:test_r001 | 12.9376 | 19.1103 | nans      |
| ee2a879c-6845-4ddc-806d-de734a5bf347 | 9278774f-f040-4f1c-8b04-9668cb805b5f | STGCN               | protocol:test_r000 | 13.1003 | 20.4498 | nans      |
| e5f495e7-ea90-48ab-ab38-28561016edff | 30f01156-f4c8-4848-aff3-8b39df673172 | STGCN               | protocol:test_r004 | 14.0139 | 20.4452 | nans      |
| 278a6745-c2c6-42eb-92d8-2b4362944a2b | 30f01156-f4c8-4848-aff3-8b39df673172 | STGCN               | protocol:test_r003 | 15.307  | 21.4456 | nans      |
| ebb74896-80ac-49b5-bf42-9b67435c77a9 | 30f01156-f4c8-4848-aff3-8b39df673172 | STGCN               | protocol:test_r002 | 12.8506 | 18.1905 | nans      |
| 27f94b5a-2c7b-41e4-acd7-d98c2a07aa6a | 30f01156-f4c8-4848-aff3-8b39df673172 | STGCN               | protocol:test_r001 | 14.2357 | 21.114  | nans      |
| 31ccf75e-93d6-4714-b1f3-fe6956d0675f | 30f01156-f4c8-4848-aff3-8b39df673172 | STGCN               | protocol:test_r000 | 16.0362 | 22.8091 | nans      |
| 4bf92aaf-d6a7-415b-aa9c-a29235472098 | 8be70a33-2afa-4d51-82b6-2ddef70c7336 | STGCN               | protocol:test_r004 | 20.7472 | 30.042  | nans      |
| 3be9702e-f9aa-48f6-a92e-a34e5c11a0a2 | 8be70a33-2afa-4d51-82b6-2ddef70c7336 | STGCN               | protocol:test_r003 | 19.9258 | 29.5175 | nans      |
| 84d52dfe-7a7a-446e-b4d5-55d730a93733 | 8be70a33-2afa-4d51-82b6-2ddef70c7336 | STGCN               | protocol:test_r002 | 19.8358 | 29.0107 | nans      |
| b9cedf0a-95fe-43fb-8095-baabdecabc91 | 8be70a33-2afa-4d51-82b6-2ddef70c7336 | STGCN               | protocol:test_r001 | 20.0219 | 29.7522 | nans      |
| fa270f21-59f9-4184-8615-225af8919a46 | 8be70a33-2afa-4d51-82b6-2ddef70c7336 | STGCN               | protocol:test_r000 | 20.9326 | 30.6886 | nans      |
| 4d1c6f72-6878-4f8e-948c-3abd64b29c98 | b1abac0c-fadb-40bc-a5e9-6d2533f5e501 | STGCN               | protocol:test_r004 | 19.5419 | 26.7607 | nans      |
| b812f3fa-eddb-4d39-bb1c-05edbd367f68 | b1abac0c-fadb-40bc-a5e9-6d2533f5e501 | STGCN               | protocol:test_r003 | 14.8786 | 22.3543 | nans      |
| 17ab2a3b-0984-4c1b-ac11-44749298c313 | b1abac0c-fadb-40bc-a5e9-6d2533f5e501 | STGCN               | protocol:test_r002 | 15.1416 | 22.3837 | nans      |
| 6dd663e5-211b-46ed-8c2b-7566cd6c109a | b1abac0c-fadb-40bc-a5e9-6d2533f5e501 | STGCN               | protocol:test_r001 | 19.9951 | 28.3975 | nans      |
| 640928d4-f32b-4df3-8d65-887769efe7b1 | b1abac0c-fadb-40bc-a5e9-6d2533f5e501 | STGCN               | protocol:test_r000 | 15.274  | 23.0919 | nans      |
| 8ec06c9d-ccb6-45ba-a367-e887d4de7d63 | a2fba592-e758-4c09-937e-81cfa2c0ea7d | STGCN               | protocol:test_r004 | 12.2513 | 18.2135 | nans      |
| 97f10e39-9701-4d3b-9e37-7cc2dcb4343e | a2fba592-e758-4c09-937e-81cfa2c0ea7d | STGCN               | protocol:test_r003 | 12.8567 | 18.9604 | nans      |
| 6b0f6e88-95d4-4a38-9c2a-0c9570241e74 | a2fba592-e758-4c09-937e-81cfa2c0ea7d | STGCN               | protocol:test_r002 | 12.567  | 18.3941 | nans      |
| 76f028d2-dd03-40e3-8571-00c839a78a32 | a2fba592-e758-4c09-937e-81cfa2c0ea7d | STGCN               | protocol:test_r001 | 12.1536 | 18.0122 | nans      |
| 386b54ae-769e-44b8-acd3-936a584a98d7 | a2fba592-e758-4c09-937e-81cfa2c0ea7d | STGCN               | protocol:test_r000 | 12.4369 | 18.1577 | nans      |
| 8ce47096-d3dc-4518-9dd6-d20c932d06a0 | ccaeffff-41be-4795-a47b-43fe5249cfa6 | DCRNN               | protocol:test_r004 | 27.8649 | 37.0993 | nans      |
| 3145f3d1-5941-4958-bb94-c580a98fabf5 | ccaeffff-41be-4795-a47b-43fe5249cfa6 | DCRNN               | protocol:test_r003 | 27.9722 | 37.344  | nans      |
| bffd7d90-0c1b-417b-846a-448fda1edc61 | ccaeffff-41be-4795-a47b-43fe5249cfa6 | DCRNN               | protocol:test_r002 | 29.9708 | 39.3823 | nans      |
| 72efe02e-5ec8-460a-9154-401f5856daa7 | ccaeffff-41be-4795-a47b-43fe5249cfa6 | DCRNN               | protocol:test_r001 | 30.033  | 39.5527 | nans      |
| 94b3aaff-d240-41a7-8e49-34fac57dc1bb | ccaeffff-41be-4795-a47b-43fe5249cfa6 | DCRNN               | protocol:test_r000 | 29.2861 | 39.1198 | nans      |
| 01cb38a1-637a-40ed-9964-5e977f4f842e | b5d0034d-e130-46c0-8929-5744371c880d | DCRNN               | protocol:test_r004 | 28.0248 | 37.3508 | nans      |
| 026d8ae5-2bec-472f-8ef0-6a75e3a7aedb | b5d0034d-e130-46c0-8929-5744371c880d | DCRNN               | protocol:test_r003 | 27.8318 | 37.3231 | nans      |
| 1e3da482-1588-4b38-af39-e974a2a1ff99 | b5d0034d-e130-46c0-8929-5744371c880d | DCRNN               | protocol:test_r002 | 29.3531 | 38.7104 | nans      |
| 3d315bcf-b171-405b-ab5e-bb400f57d6f6 | b5d0034d-e130-46c0-8929-5744371c880d | DCRNN               | protocol:test_r001 | 30.06   | 39.5489 | nans      |
| d34f50e8-e315-4620-82e3-0393963a1e1a | b5d0034d-e130-46c0-8929-5744371c880d | DCRNN               | protocol:test_r000 | 28.639  | 38.7291 | nans      |
| 68ede3c6-21ea-4d5d-9929-c7528fd6fddf | 5594a44e-d5e2-4408-b026-9949788facde | DCRNN               | protocol:test_r004 | 30.3653 | 40.1327 | nans      |
| 682be748-4f2b-46f2-9db8-ae06f706f8a3 | 5594a44e-d5e2-4408-b026-9949788facde | DCRNN               | protocol:test_r003 | 30.7396 | 39.4816 | nans      |
| 895e1251-849d-4d71-b608-7e268e3daceb | 5594a44e-d5e2-4408-b026-9949788facde | DCRNN               | protocol:test_r002 | 27.0398 | 36.0081 | nans      |
| 923129ca-2e8b-442f-9e6a-5ea3e59cd24d | 5594a44e-d5e2-4408-b026-9949788facde | DCRNN               | protocol:test_r001 | 30.9133 | 40.733  | nans      |
| adfd8d9c-f220-4623-91b8-c12c9e2052c6 | 5594a44e-d5e2-4408-b026-9949788facde | DCRNN               | protocol:test_r000 | 32.7112 | 41.9378 | nans      |
| f4e71443-6f5c-4c21-a784-bf4256aa63e0 | d221e0cc-105c-4529-8338-7b8ee73b46ae | DCRNN               | protocol:test_r004 | 48.4616 | 57.8891 | nans      |
| c32d1410-9a27-4bf0-af89-baab7d91d47a | d221e0cc-105c-4529-8338-7b8ee73b46ae | DCRNN               | protocol:test_r003 | 47.9427 | 57.3887 | nans      |
| ba0063de-b979-481f-938a-c92979d2718b | d221e0cc-105c-4529-8338-7b8ee73b46ae | DCRNN               | protocol:test_r002 | 47.5671 | 57.1602 | nans      |
| 15192b9c-2e40-45a9-9a80-706c5e5ce920 | d221e0cc-105c-4529-8338-7b8ee73b46ae | DCRNN               | protocol:test_r001 | 47.8589 | 57.5654 | nans      |
| 9ad02e78-c7c4-455b-93fc-51319d1cd8f1 | d221e0cc-105c-4529-8338-7b8ee73b46ae | DCRNN               | protocol:test_r000 | 47.6768 | 57.2742 | nans      |
| 6b32dcc6-ffb2-4ebe-80ea-665818695a0b | d6b91d16-a814-4732-8ce1-9fa89446b467 | DCRNN               | protocol:test_r004 | 35.2952 | 44.8274 | nans      |
| d579b1a4-6aa5-448a-877e-00b2fe1deab3 | d6b91d16-a814-4732-8ce1-9fa89446b467 | DCRNN               | protocol:test_r003 | 33.1245 | 44.4066 | nans      |
| 1a0a78b2-a947-4581-abf8-f3b959e985aa | d6b91d16-a814-4732-8ce1-9fa89446b467 | DCRNN               | protocol:test_r002 | 29.776  | 40.0436 | nans      |
| 2b55cc11-5eb7-499f-8900-b498ed4ca856 | d6b91d16-a814-4732-8ce1-9fa89446b467 | DCRNN               | protocol:test_r001 | 36.94   | 47.2421 | nans      |
| cd62c199-59a6-498b-9e65-ad5876549bde | d6b91d16-a814-4732-8ce1-9fa89446b467 | DCRNN               | protocol:test_r000 | 33.1718 | 44.5643 | nans      |
| 5cc44552-9468-4299-801f-a2ab1fff2246 | e1888e26-9a21-4a8e-94fe-c6265c9cadeb | DCRNN               | protocol:test_r004 | 29.3264 | 39.1706 | nans      |
| 0649ed09-5495-497e-9575-ee6910b3f3c0 | e1888e26-9a21-4a8e-94fe-c6265c9cadeb | DCRNN               | protocol:test_r003 | 30.0054 | 39.5128 | nans      |
| 04cb9566-73d4-46d4-bc9c-992fefabae7a | e1888e26-9a21-4a8e-94fe-c6265c9cadeb | DCRNN               | protocol:test_r002 | 29.6434 | 39.051  | nans      |
